,Mean,Stddev,Median
563,1.7235149,0.24942856,1.7047453
564,1.7245666,0.2502086,1.7074395
565,1.7247114,0.2518787,1.7089674
566,1.7255744,0.2521813,1.7066317
567,1.727604,0.24994253,1.7130623
568,1.7285075,0.2551339,1.7102633
569,1.7333874,0.25357357,1.7196867
570,1.7330558,0.25311324,1.7211425
571,1.7353193,0.25505897,1.7195336
572,1.7350485,0.25459546,1.7229673
573,1.7395658,0.25491968,1.7286346
574,1.7422025,0.2526639,1.7365302
575,1.7469978,0.25353676,1.7405009
576,1.7455589,0.25312844,1.7358205
577,1.7472016,0.25344092,1.7397182
578,1.7515036,0.25457284,1.7451595
579,1.7497661,0.25333568,1.7406852
580,1.754711,0.2551011,1.7479808
581,1.7604418,0.25548482,1.7552581
582,1.7634022,0.25586194,1.7553034
583,1.7687194,0.2570173,1.7596208
584,1.7704985,0.25580204,1.7611147
585,1.7747079,0.25594842,1.7657374
586,1.7720214,0.2555033,1.7607428
587,1.7721213,0.25527582,1.7589109
588,1.7746087,0.25597742,1.7602648
589,1.7739749,0.25423095,1.7644249
590,1.7762283,0.25394934,1.7656174
591,1.7818508,0.25427157,1.7733867
592,1.7827748,0.2533473,1.7712923
593,1.7833282,0.25442165,1.7733777
594,1.7869322,0.25367182,1.77368
595,1.7860144,0.25377274,1.7676649
596,1.7856892,0.25183618,1.7686598
597,1.7884748,0.25031367,1.7700628
598,1.7872988,0.24793053,1.7747644
599,1.7911886,0.25004515,1.7729315
600,1.7903603,0.25140116,1.771245
601,1.7958734,0.24824649,1.7789809
602,1.7954292,0.24989632,1.7792922
603,1.7946947,0.24888416,1.7757797
604,1.7951041,0.2481299,1.7773677
605,1.7973082,0.24575594,1.7781043
606,1.796873,0.24755639,1.7777294
607,1.7982314,0.24816366,1.7759962
608,1.7970748,0.24576901,1.7794368
609,1.796554,0.24590942,1.7792201
610,1.8008033,0.245994,1.7817268
611,1.7997935,0.24655588,1.7806234
612,1.7997662,0.24704677,1.7806797
613,1.8025348,0.24802642,1.7835575
614,1.8022554,0.24455482,1.7788997
615,1.8063158,0.24065664,1.7839804
616,1.8093741,0.24268256,1.7894535
617,1.80717,0.23792715,1.792113
618,1.8081136,0.24167326,1.7858224
619,1.8109955,0.23928778,1.7906823
620,1.813144,0.23854749,1.794136
621,1.8180641,0.23736328,1.8034325
